time,value
2025-05-19T06:01:47.133836435Z,No Motion Detected.
2025-05-19T06:02:05.151075741Z,No Motion Detected.
2025-05-19T06:02:36.171111092Z,Motion Detected.
2025-05-19T06:02:39.180242295Z,No Motion Detected.
2025-05-19T06:02:42.166407477Z,Motion Detected.
2025-05-19T06:02:45.165475833Z,No Motion Detected.
2025-05-19T06:03:03.190021295Z,Motion Detected.
2025-05-19T06:03:06.700482714Z,No Motion Detected.
2025-05-19T06:04:18.745635579Z,Motion Detected.
2025-05-19T06:04:21.721103908Z,No Motion Detected.
2025-05-19T06:04:30.75101049Z,Motion Detected.
2025-05-19T06:04:37.202236056Z,No Motion Detected.
2025-05-19T06:04:59.22547269Z,Motion Detected.
2025-05-19T06:05:09.690463648Z,No Motion Detected.
2025-05-19T06:05:27.71649037Z,Motion Detected.
2025-05-19T06:05:35.270308595Z,No Motion Detected.
2025-05-19T06:05:43.261168115Z,Motion Detected.
2025-05-19T06:05:48.260041339Z,No Motion Detected.
2025-05-19T06:05:56.250238166Z,Motion Detected.
2025-05-19T06:06:01.360524109Z,No Motion Detected.
2025-05-19T06:06:03.780470501Z,Motion Detected.
2025-05-19T06:06:08.290289557Z,No Motion Detected.
2025-05-19T06:06:25.260561746Z,Motion Detected.
2025-05-19T06:06:29.240374425Z,No Motion Detected.
2025-05-19T06:06:39.28552878Z,Motion Detected.
2025-05-19T06:06:43.261595685Z,No Motion Detected.
2025-05-19T06:06:50.800679701Z,Motion Detected.
2025-05-19T06:06:55.280778523Z,No Motion Detected.
2025-05-19T06:07:15.255534477Z,Motion Detected.
2025-05-19T06:07:22.780475034Z,No Motion Detected.
2025-05-19T06:07:31.80854756Z,Motion Detected.
2025-05-19T06:07:37.320360352Z,No Motion Detected.
2025-05-19T06:07:59.780490603Z,Motion Detected.
2025-05-19T06:08:05.340829366Z,No Motion Detected.
2025-05-19T06:09:01.290907428Z,Motion Detected.
2025-05-19T06:09:06.285755324Z,No Motion Detected.
2025-05-19T06:09:27.835829966Z,Motion Detected.
2025-05-19T06:09:31.797163178Z,No Motion Detected.
2025-05-19T06:09:48.300719134Z,Motion Detected.
2025-05-19T06:09:52.807085557Z,No Motion Detected.
2025-05-19T06:10:33.50081557Z,Motion Detected.
2025-05-19T06:10:42.000926948Z,No Motion Detected.
2025-05-19T06:11:11.381712738Z,Motion Detected.
2025-05-19T06:11:41.658302296Z,Motion Detected.
2025-05-19T06:11:42.154039163Z,No Motion Detected.
2025-05-19T06:11:43.193792275Z,Motion Detected.
2025-05-19T06:11:55.66368306Z,No Motion Detected.
2025-05-19T06:12:08.193910485Z,Motion Detected.
2025-05-19T06:12:08.67878726Z,No Motion Detected.
2025-05-19T06:12:15.174081311Z,Motion Detected.
2025-05-19T06:12:16.73422367Z,No Motion Detected.
2025-05-19T06:12:18.219611195Z,Motion Detected.
2025-05-19T06:12:18.684048804Z,No Motion Detected.
2025-05-19T06:12:55.191421757Z,Motion Detected.
2025-05-19T06:12:57.689026839Z,No Motion Detected.
2025-05-19T06:13:13.344765863Z,Motion Detected.
2025-05-19T06:13:19.694024363Z,No Motion Detected.
2025-05-19T06:13:59.758122743Z,Motion Detected.
2025-05-19T06:14:03.203867388Z,No Motion Detected.
2025-05-19T06:14:55.18862733Z,No Motion Detected.
2025-05-19T06:14:55.68949204Z,Motion Detected.
2025-05-19T06:14:58.194550752Z,No Motion Detected.
2025-05-19T06:15:01.704378668Z,Motion Detected.
2025-05-19T06:15:19.533763363Z,No Motion Detected.
2025-05-19T06:15:23.239335881Z,Motion Detected.
2025-05-19T06:15:28.764084767Z,No Motion Detected.
2025-05-19T06:15:43.209612194Z,Motion Detected.
2025-05-19T06:15:49.239634226Z,No Motion Detected.
2025-05-19T06:16:09.335763897Z,Motion Detected.
2025-05-19T06:16:12.775563809Z,No Motion Detected.
2025-05-19T06:16:19.275577557Z,Motion Detected.
2025-05-19T06:16:24.74645529Z,No Motion Detected.
2025-05-19T06:16:30.25628881Z,Motion Detected.
2025-05-19T06:16:36.77111682Z,No Motion Detected.
2025-05-19T06:16:50.254411588Z,Motion Detected.
2025-05-19T06:16:58.814640841Z,No Motion Detected.
2025-05-19T06:17:01.824572552Z,Motion Detected.
2025-05-19T06:17:07.284629438Z,No Motion Detected.
2025-05-19T06:17:12.274092304Z,Motion Detected.
2025-05-19T06:17:15.314288752Z,No Motion Detected.
2025-05-19T06:17:21.796273414Z,Motion Detected.
2025-05-19T06:17:27.775992097Z,No Motion Detected.
2025-05-19T06:17:35.336224162Z,Motion Detected.
2025-05-19T06:17:39.826400014Z,No Motion Detected.
2025-05-19T06:17:48.311395904Z,Motion Detected.
2025-05-19T06:17:51.815902764Z,No Motion Detected.
2025-05-19T06:17:53.92077008Z,Motion Detected.
2025-05-19T06:17:59.335710619Z,No Motion Detected.
2025-05-19T06:18:05.295477877Z,Motion Detected.
2025-05-19T06:18:08.815781025Z,No Motion Detected.
2025-05-19T06:18:11.336179745Z,Motion Detected.
2025-05-19T06:18:45.817805268Z,No Motion Detected.
2025-05-19T06:18:54.390656349Z,Motion Detected.
2025-05-19T06:19:03.877246629Z,No Motion Detected.
2025-05-19T06:19:05.835803414Z,Motion Detected.
2025-05-19T06:19:11.335762336Z,No Motion Detected.
2025-05-19T06:19:13.896311296Z,Motion Detected.
2025-05-19T06:19:19.565876795Z,No Motion Detected.
2025-05-19T06:19:23.836072183Z,Motion Detected.
2025-05-19T06:19:28.876193711Z,No Motion Detected.
2025-05-19T06:19:30.865682331Z,Motion Detected.
2025-05-19T06:19:41.396191357Z,No Motion Detected.
2025-05-19T06:19:43.386864501Z,Motion Detected.
2025-05-19T06:20:12.386040569Z,No Motion Detected.
2025-05-19T06:20:17.850502043Z,Motion Detected.
2025-05-19T06:20:27.861200039Z,No Motion Detected.
2025-05-19T06:20:30.866796282Z,Motion Detected.
2025-05-19T06:20:37.455835531Z,No Motion Detected.
2025-05-19T06:20:39.867273399Z,Motion Detected.
2025-05-19T06:20:42.420657281Z,No Motion Detected.
2025-05-19T06:20:44.880493804Z,Motion Detected.
2025-05-19T06:20:54.416235586Z,No Motion Detected.
2025-05-19T06:21:00.395895365Z,Motion Detected.
2025-05-19T06:21:03.455633657Z,No Motion Detected.
2025-05-19T06:21:12.5965833Z,Motion Detected.
2025-05-19T06:21:22.9294482Z,No Motion Detected.
2025-05-19T06:21:25.415677881Z,Motion Detected.
2025-05-19T06:21:27.905811815Z,No Motion Detected.
2025-05-19T06:22:04.910644019Z,Motion Detected.
2025-05-19T06:22:11.935579683Z,No Motion Detected.
2025-05-19T06:22:14.44097747Z,Motion Detected.
2025-05-19T06:22:44.935526127Z,No Motion Detected.
